act,slpstate,time
0,1,0:18:30
0,1,0:19:00
23,1,0:19:30
173,1,0:20:00
226,1,0:20:30
127,0,0:21:00
242,0,0:21:30
2,0,0:22:00
0,0,0:22:30
0,0,0:23:00
0,0,0:23:30
0,0,0:24:00
0,0,0:24:30
0,0,0:25:00
3,1,0:25:30
0,1,0:26:00
0,1,0:26:30
0,1,0:27:00
0,1,0:27:30
109,0,0:28:00
285,0,0:28:30
0,0,0:29:00
8,0,0:29:30
0,0,0:30:00
0,0,0:30:30
0,0,0:31:00
0,0,0:31:30
0,0,0:32:00
0,0,0:32:30
0,0,0:33:00
0,0,0:33:30
0,0,0:34:00
0,0,0:34:30
0,0,0:35:00
6,0,0:35:30
0,0,0:36:00
0,0,0:36:30
0,0,0:37:00
0,0,0:37:30
0,0,0:38:00
0,0,0:38:30
0,0,0:39:00
0,1,0:39:30
0,1,0:40:00
0,1,0:40:30
0,1,0:41:00
37,0,0:41:30
141,0,0:42:00
0,0,0:42:30
37,0,0:43:00
5,0,0:43:30
0,0,0:44:00
0,0,0:44:30
0,0,0:45:00
0,0,0:45:30
0,0,0:46:00
0,0,0:46:30
0,0,0:47:00
0,0,0:47:30
0,0,0:48:00
0,0,0:48:30
0,1,0:49:00
0,0,0:49:30
0,0,0:50:00
0,0,0:50:30
58,0,0:51:00
0,0,0:51:30
0,0,0:52:00
0,0,0:52:30
0,0,0:53:00
0,0,0:53:30
0,0,0:54:00
0,0,0:54:30
0,0,0:55:00
0,0,0:55:30
0,0,0:56:00
0,0,0:56:30
0,0,0:57:00
0,0,0:57:30
0,0,0:58:00
0,0,0:58:30
0,0,0:59:00
0,0,0:59:30
0,0,1:00:00
0,0,1:00:30
0,0,1:01:00
0,0,1:01:30
0,0,1:02:00
0,0,1:02:30
1,0,1:03:00
0,0,1:03:30
0,0,1:04:00
0,0,1:04:30
0,0,1:05:00
0,0,1:05:30
0,0,1:06:00
0,0,1:06:30
0,0,1:07:00
0,0,1:07:30
0,0,1:08:00
0,0,1:08:30
0,0,1:09:00
0,1,1:09:30
0,1,1:10:00
0,1,1:10:30
0,1,1:11:00
0,1,1:11:30
5,0,1:12:00
325,0,1:12:30
1,0,1:13:00
0,1,1:13:30
0,0,1:14:00
0,0,1:14:30
0,0,1:15:00
36,0,1:15:30
0,0,1:16:00
0,0,1:16:30
0,0,1:17:00
0,0,1:17:30
0,0,1:18:00
0,0,1:18:30
1,0,1:19:00
1,0,1:19:30
0,0,1:20:00
0,0,1:20:30
0,0,1:21:00
0,0,1:21:30
0,0,1:22:00
0,0,1:22:30
0,0,1:23:00
0,0,1:23:30
0,0,1:24:00
0,0,1:24:30
0,0,1:25:00
0,0,1:25:30
0,0,1:26:00
0,0,1:26:30
0,0,1:27:00
0,0,1:27:30
0,0,1:28:00
0,0,1:28:30
0,0,1:29:00
0,0,1:29:30
0,0,1:30:00
0,0,1:30:30
0,0,1:31:00
0,0,1:31:30
0,0,1:32:00
0,0,1:32:30
0,0,1:33:00
0,1,1:33:30
0,1,1:34:00
0,1,1:34:30
0,0,1:35:00
16,0,1:35:30
106,0,1:36:00
16,0,1:36:30
0,0,1:37:00
0,0,1:37:30
0,0,1:38:00
0,0,1:38:30
